ああむほおる,アームホール
ずきんずきん,ずきんずきん
すくみあがる,すくみあがる
すけじゅうる,スケジュール
ずしんずしん,ずしんずしん
すすりあげる,すすりあげる
すてえしょん,ステーション
すぽおつまん,スポーツマン
すぽおてぃい,スポーティー
すれっからし,すれっからし
せいせいする,せいせいする
せえるすまん,セールスマン
せせこましい,せせこましい
せっぱつまる,せっぱつまる
せめさいなむ,責めさいなむ
せんずるところ,詮ずるところ
そそっかしい,そそっかしい
そそっかしい,そそっかしい
そぞろあるき,そぞろあるき
そのひぐらし,その日暮らし
そらうそぶく,そらうそぶく
そらとぼける,そらとぼける
それどころか,それどころか
それとなしに,それとなしに
そればかりか,そればかりか
だあくほおす,ダークホース
だいなまいと,ダイナマイト
だいなまいと,ダイナマイト
だいやもんど,ダイヤモンド
だきあわせる,抱き合わせる
だきかかえる,抱きかかえる
だきかかえる,抱きかかえる
たぐりよせる,たぐり寄せる
だしおくれる,出しおくれる
たたきあげる,たたきあげる
たたきあげる,たたきあげる
たたきあげる,たたきあげる
たたきおこす,たたき起こす
たたきおとす,たたき落とす
たたきこわす,たたきこわす
たたきつける,たたきつける
たたきふせる,たたき伏せる
だだっぴろい,だだっぴろい
たちあわせる,裁ち合わせる
たちおくれる,立ちおくれる
たちどころに,たちどころに
たちはだかる,立ちはだかる
たちはだかる,立ちはだかる
たちふさがる,立ちふさがる
たどたどしい,たどたどしい
たぬきねいり,たぬき寝入り
たまりかねる,たまりかねる
たんぐすてん,タングステン
ちぎれちぎれ,ちぎれちぎれ
ちぢみあがる,ちぢみあがる
ちゃきちゃき,ちゃきちゃき
ちゃちゃちゃ,チャチャチャ
ちゃらちゃら,ちゃらちゃら
ちゃんぴおん,チャンピオン
ちゅうちゅう,ちゅうちゅう
ちゅうりっぷ,チューリップ
ちょいちょい,ちょいちょい
ちょうちょう,ちょうちょう
ちょきちょき,ちょきちょき
ちょくちょく,ちょくちょく
ちょこちょこ,ちょこちょこ
ちょこなんと,ちょこなんと
ちょこれえと,チョコレート
ちょろちょろ,ちょろちょろ
ちょろまかす,ちょろまかす
ちょんちょん,ちょんちょん
ちょんちょん,ちょんちょん
ちらつかせる,ちらつかせる
ちんちくりん,ちんちくりん
ちんちろりん,ちんちろりん
ちんぱんじい,チンパンジー
つかみかかる,つかみかかる
つきあわせる,つき合わせる
つぎあわせる,つぎ合わせる
つきころばす,つきころばす
つっけんどん,つっけんどん
つっけんどん,つっけんどん
つべるくりん,ツベルクリン
つるしあげる,つるし上げる
つんつるてん,つんつるてん
てあたりしだい,手あたり次第
てぐすねひく,手ぐすねひく
てしおにかける,手塩にかける
でしりっとる,デシリットル
でたとこしょうぶ,出たとこ勝負
でっちあげる,でっちあげる
てっとりばやい,手っとり速い
でっどろっく,デッドロック
でもくらしい,デモクラシー
てもちぶさた,手持ちぶさた
てるてるぼうず,照る照る坊主
てれびじょん,テレビジョン
でんぐりがえし,でんぐり返し
でんぐりがえる,でんぐり返る
でんしょばと,でんしょばと
でんでんむし,でんでんむし
てんとうむし,てんとうむし
てんやわんや,てんやわんや
てんやわんや,てんやわんや
といあわせる,問い合わせる
とうもろこし,とうもろこし
とおなめんと,トーナメント
とききかせる,説き聞かせる
とげとげしい,とげとげしい
ところどころ,ところどころ
とじあわせる,とじ合わせる
どたんばたん,どたんばたん
どっこいしょ,ドッコイショ
どっじぼおる,ドッジボール
どっちつかず,どっちつかず
どっちつかず,どっちつかず
とてつもない,とてつもない
とどのつまり,とどのつまり
どなりつける,どなりつける
とらんぺっと,トランペット
とりあわせる,取り合わせる
とりおさえる,取り押さえる
とりかたづける,取り片付ける
とりかたづける,取り片付ける
とりそこなう,取りそこなう
とりそろえる,取りそろえる
とりちらかす,取りちらかす
とりちらかす,取り散らかす
とりつくろう,とりつくろう
とりまぎれる,とりまぎれる
とりまぎれる,とりまぎれる
とりまとめる,とりまとめる
とれえにんぐ,トレーニング
とんちんかん,とんちんかん
とんでもな,とんでもない
とんでもない,とんでもない
とんぼがえり,とんぼがえり
ないとくらぶ,ナイトクラブ
なかずとばす,鳴かず飛ばず
なきくずれる,泣きくずれる
なきじゃくり,泣きじゃくり
なきじゃくる,泣きじゃくる
なきわかれる,泣き別かれる
なぐりつける,なぐりつける
なぐりとばす,なぐり飛ばす
なつかしがる,なつかしがる
なまめかしい,なまめかしい
なむあみだぶつ,南無阿弥陀仏
ならいおぼえる,習いおぼえる
なりはためく,鳴りはためく
なれなれしい,なれなれしい
なんきんまめ,なんきんまめ
なんとなれば,なんとなれば
なんばあわん,ナンバーワン
にえくりかえる,煮えくり返る
にげおくれる,逃げおくれる
にちゃにちゃ,にちゃにちゃ
につかわしい,似つかわしい
にとうへんさんかくけい,二等辺三角形
にょきにょき,にょきにょき
にょろにょろ,にょろにょろ
にらみつける,にらみつける
ぬいあわせる,縫い合わせる
ぬきあしさしあし,ぬき足さし足
ぬらりくらり,ぬらりくらり
ねおんさいん,ネオンサイン
ねじはちまき,ねじはちまき
ねっくらいん,ネックライン
ねほりはほり,根掘り葉掘り
ねりあわせる,練り合わせる
のっくあうと,ノックアウト
のっしのっし,のっしのっし
のっそのっそ,のっそのっそ
のぼせあがる,のぼせあがる
のぼりつめる,のぼりつめる
のみつぶれる,飲みつぶれる
のりあわせる,乗り合わせる
のりあわせる,乗り合わせる
のりおくれる,乗りおくれる
のりそこなう,乗りそこなう
のるかそるか,のるかそるか
ぱあまねんと,パーマネント
ぱいなっぷる,パイナップル
ばかばかしい,ばかばかしい
はぎあわせる,はぎ合わせる
はずかしがる,はずかしがる
はずかしめる,はずかしめる
はずかしめる,はずかしめる
はずかしめる,はずかしめる
ばちゃばちゃ,ばちゃばちゃ
はっくしょう,ハックショウ
はなしょうぶ,はなしょうぶ
はなはだしい,はなはだしい
はやしたてる,はやし立てる
はらいきよめる,はらい清める
はらいのける,はらいのける
ぱらしゅうと,パラシュート
ばれえぼおる,バレーボール
はれがましい,晴れがましい
はればれしい,晴れ晴れしい
ばろめえたあ,バロメーター
はんぜんしびょう,ハンゼン氏病
はんどばっぐ,ハンドバッグ
ぱんとまいむ,パントマイム
ぱんふれっと,パンフレット
ひがんざくら,ひがんざくら
ひきあわせる,ひきあわせる
ひきずりこむ,引きずり込む
びしょびしょ,びしょびしょ
びちゃびちゃ,びちゃびちゃ
ぴちゃぴちゃ,ぴちゃぴちゃ
ひっかかえる,ひっかかえる
ひっきりなし,ひっきりなし
ひっきりなし,ひっきりなし
ひっくりかえす,ひっくり返す
ひっくりかえる,ひっくり返る
ひっくるめる,ひっくるめる
ひっくるめる,ひっくるめる
ひっとらえる,ひっとらえる
ひっぱりだこ,ひっぱりだこ
ひっぱりだす,ひっぱり出す
ひとつびとつ,ひとつびとつ
ひとつびとつ,ひとつびとつ
ひとりぐらし,ひとり暮らし
ひとりひとり,ひとりひとり
ひとりぼっち,ひとりぼっち
ひとりよがり,ひとりよがり
ひなたぼっこ,ひなたぼっこ
ひねりつぶす,ひねりつぶす
ひねりまわす,ひねりまわす
ひゃくぱあせんと,百パーセント
ひゅうひゅう,ひゅうひゅう
びゅうびゅう,びゅうびゅう
ぴゅうぴゅう,ぴゅうぴゅう
ひゅんひゅん,ひゅんひゅん
びゅんびゅん,びゅんびゅん
ひょいひょい,ひょいひょい
ひょこひょこ,ひょこひょこ
ぴょこぴょこ,ぴょこぴょこ
ひょろひょろ,ひょろひょろ
ひるがえって,ひるがえって
びるでぃんぐ,ビルディング
ふぁっしずむ,ファッシズム
ふぁんれたあ,ファンレター
ふぇみにすと,フェミニスト
ふぐたいてんのかたき,不倶戴天の仇
ぶっきらぼう,ぶっきらぼう
ふっとぼおる,フットボール
ふてぶてしい,ふてぶてしい
ふみとどまる,踏みとどまる
ぷらんくとん,プランクトン
ふるいわける,ふるい分ける
ふるえあがる,ふるえあがる
ぷろれたりあ,プロレタリア
ふんづかまる,ふんづかまる
へいへいする,へいへいする
べすとすりい,ベストスリー
ぺちゃくちゃ,ぺちゃくちゃ
べちゃべちゃ,べちゃべちゃ
ぺちゃぺちゃ,ぺちゃぺちゃ
へっどらいと,ヘッドライト
ぺてぃこおと,ペティコート
へもぐろびん,ヘモグロビン
へりこぷたあ,ヘリコプター
ほうりあげる,ほうり上げる
ほうれんそう,ほうれんそう
ぼおとれえす,ボートレース
ぼたんほおる,ボタンホール
ぽちゃぽちゃ,ぽちゃぽちゃ
ほったらかし,ほったらかし
ほったらかす,ほったらかす
ぼでぃいびる,ボディービル
ほほえましい,ほほえましい
ほりぬきいど,掘り抜き井戸
ぼりゅうむ,ヴォリューム
まいくろほん,マイクロホン
まいくろほん,マイクロホン
まがりくねる,曲がりくねる
まぎらわしい,まぎらわしい
まくしたてる,まくしたてる
まぐねしうむ,マグネシウム
まくりあげる,まくりあげる
まぐれあたり,まぐれあたり
まけずぎらい,負けずぎらい
まことしやか,まことしやか
まぜあわせる,まぜあわせる
まちあわせる,待ち合わせる
まちかまえる,待ちかまえる
まちこがれる,待ちこがれる
まっくらやみ,まっくらやみ
まつりつける,まつりつける
まつわりつく,まつわりつく
まねえじゃあ,マネージャー
まらそんきょうそう,マラソン競走
まわりあわせ,まわり合わせ
まわりくどい,まわりくどい
まんべんなく,まんべんなく
みしりみしり,みしりみしり
みすぷりんと,ミスプリント
みすぼらしい,みすぼらしい
みずみずしい,みずみずしい
みずみずしい,みずみずしい
みせびらかす,見せびらかす
みっともない,みっともない
みゅうじかる,ミュージカル
みゅうじっく,ミュージック
みりめえとる,ミリメートル
みんみんぜみ,みんみんぜみ
むかいあわせ,向かい合わせ
むごたらしい,むごたらしい
むさくるしい,むさくるしい
むしゃくしゃ,むしゃくしゃ
むしゃむしゃ,むしゃむしゃ
むちゃくちゃ,むちゃくちゃ
めちゃくちゃ,めちゃくちゃ
めちゃめちゃ,めちゃめちゃ
めったやたら,めったやたら
めまぐるしい,目まぐるしい
めりやすあみ,メリヤス編み
もうしあわせる,申し合わせる
もうしきかせる,申し聞かせる
もしかすると,もしかすると
もじゃもじゃ,もじゃもじゃ
もたせかける,もたせかける
もたれかかる,もたれかかる
もちあわせる,持ち合わせる
もちこたえる,持ちこたえる
もったいない,もったいない
もったいぶる,もったいぶる
もってのほか,もってのほか
もてあつかう,もてあつかう
もぬけのから,もぬけのから
もらいうける,もらい受ける
もりたくさん,盛りたくさん
もんどりうつ,もんどりうつ
やいのやいの,やいのやいの
やきをいれる,焼きを入れる
やけだされる,焼け出される
やっさもっさ,やっさもっさ
やといいれる,やとい入れる
やのあさって,やのあさって
やみほうける,病みほうける
やむをえない,止むを得ない
ややもすると,ややもすると
ややもすれば,ややもすれば
やりきれない,やり切れない
やりそこない,やりそこない
やりそこなう,やりそこなう
やりっぱなし,やりっぱなし
やんごとない,やんごとない
やんごとない,やんごとない
ゆきあわせる,行き合わせる
ゆきわかれる,行き別かれる
よいつぶれる,酔いつぶれる
よおどちんき,ヨードチンキ
よそよそしい,よそよそしい
よみあわせる,読み合わせる
よみきかせる,読み聞かせる
よみそこなう,読みそこなう
よりあわせる,より合わせる
らいすかれえ,ライスカレー
りゅうまちす,リューマチス
るねっさんす,ルネッサンス
れいんこおと,レインコート
れじすたんす,レジスタンス
れっきとした,れっきとした
ろおうえすと,ローウエスト
ろおぷうぇえ,ロープウェー
ろけえしょん,ロケーション
ろまんちっく,ロマンチック
わかりやすい,わかりやすい
わかれわかれ,分かれ分かれ
わかれわかれ,分かれ分かれ
わざわいする,わざわいする
わらいくずれる,笑いくずれる
