○　	日,か　
○あせ	寝汗,ねあせ
○あせんと	パーセント,ぱあせんと
○あぜ	ガーゼ,があぜ
○あそなりてぃい	パーソナリティー,ぱあそなりてぃい
○あそび	火遊び,ひあそび	夜遊び,よあそび
○あたああみ	ガーター編み,があたああみ
○あたらしい	真新しい,まあたらしい	目新しい,めあたらしい
○あたり	場当り,ばあたり	日当たり,ひあたり
○あたりしだい	手あたり次第,てあたりしだい
○あたる	見当たる,みあたる
○あち	アーチ,ああち	マーチ,まあち
○あちらいと	サーチライト,さあちらいと
○あつ	威圧,いあつ	気圧,きあつ	ダーツ,だあつ
○あつい	手厚い,てあつい	分厚い,ぶあつい
○あつぶん	ダーツ分,だあつぶん
○あて	手当,てあて	名あて,なあて	目あて,めあて
○あてぃい	パーティー,ぱあてぃい
○あてん	カーテン,かあてん
○あでぃがん	カーディガン,かあでぃがん
○あと	ハート,はあと
○あど	カード,かあど	ガード,があど	ヤード,やあど	ラード,らあど
○あな	毛穴,けあな
○あなりすと	ジャーナリスト,じゃあなりすと
○あなりずむ	ジャーナリズム,じゃあなりずむ
○あに	なあに,なあに
○あにすと	ピアニスト,ぴあにすと
○あねえしょん	カーネーション,かあねえしょん
○あの	ピアノ,ぴあの
○あはあ	ハアハア,はあはあ
○あびす	サービス,さあびす
○あぶ	カーブ,かあぶ	サーブ,さあぶ
○あぶせん	カーブ線,かあぶせん
○あぶり	手あぶり,てあぶり
○あぷ	シャープ,しゃあぷ
○あま	パーマ,ぱあま
○あまあ	まあまあ,まあまあ
○あまねんと	パーマネント,ぱあまねんと
○あみ	手編み,てあみ	とあみ,とあみ	湯あみ,ゆあみ
○あみる	パーミル,ぱあみる
○あむほおる	アームホール,ああむほおる
○あもにい	ハーモニー,はあもにい
○あもにか	ハーモニカ,はあもにか
○あや	ばあや,ばあや
○あやまり	見誤り,みあやまり
○あやまる	見誤る,みあやまる
○あらい	手荒らい,てあらい	手洗い,てあらい
○あらな	手荒らな,てあらな
○あらぬ	さあらぬ,さあらぬ
○あらわす	見あらわす,みあらわす
○ありずむ	リアリズム,りありずむ
○ありんぐ	ベアリング,べありんぐ
○ある	アール,あある	ガール,がある	とある,とある	バール,ばある	ヤール,やある	リアル,りある
○あるき	夜歩き,よあるき
○あるはば	ヤール幅,やあるはば
○あるふれんど	ガールフレンド,があるふれんど
○あわあ	ワアワア,わあわあ
○あわす	来合わす,きあわす
○あわせ	仕合せ,しあわせ	手合せ,てあわせ
○あわせる	居合わせる,いあわせる	来合わせる,きあわせる	見合わせる,みあわせる	めあわせる,めあわせる
○あん	慰安,いあん	起案,きあん	議案,ぎあん	思案,しあん	私案,しあん	試案,しあん	図案,ずあん	ターン,たあん	だあん,だあん	治安,ちあん	不安,ふあん	保安,ほあん
○あんす	ニュアンス,にゅあんす
○あんてい	不安定,ふあんてい
○あんない	不案内,ふあんない
○い	愛,あい	相,あい	藍,あい	いい,いい	飯,いい	初,うい	エイ,えい	嬰,えい	おい,おい	老い,おい	かい,かい	下位,かい	会,かい	回,かい	快,かい	怪,かい	海,かい	界,かい	階,かい	貝,かい	飼い,かい	買い,かい	櫂,かい	我意,がい	外,がい	害,がい	街,がい	該,がい	キー,きい	奇異,きい	貴意,きい	悔い,くい	杭,くい	ぐい,ぐい	刑,けい	兄,けい	形,けい	径,けい	景,けい	桂,けい	系,けい	経,けい	罫,けい	計,けい	軽,けい	芸,げい	こい,こい	故意,こい	請い,こい	濃い,こい	恋,こい	語意,ごい	語彙,ごい	さい,さい	差異,さい	債,さい	再,さい	最,さい	妻,さい	才,さい	歳,さい	祭,さい	際,さい	剤,ざい	在,ざい	材,ざい	罪,ざい	財,ざい	Ｃ,しい	しい,しい	四囲,しい	私意,しい	じい,じい	侍医,じい	示威,じい	自慰,じい	辞意,じい	謝意,しゃい	趣意,しゅい	首位,しゅい	叙位,じょい	女医,じょい	酸い,すい	水,すい	粋,すい	髄,ずい	せい,せい	世,せい	制,せい	姓,せい	性,せい	政,せい	正,せい	生,せい	精,せい	聖,せい	製,せい	静,せい	背,せい	勢,ぜい	税,ぜい	贅,ぜい	沿い,ぞい	−たい,たい	たい,たい	タイ,たい	他意,たい	体,たい	堆,たい	対,たい	帯,たい	態,たい	隊,たい	大,たい	代,だい	台,だい	大,だい	第,だい	題,だい	地位,ちい	つい,つい	対,つい	体,てい	低,てい	堤,てい	帝,てい	廷,てい	弟,てい	艇,てい	邸,てい	樋,とい	問い,とい	ない,ない	内,ない	縫い,ぬい	はい,はい	灰,はい	拝,はい	敗,はい	杯,はい	肺,はい	胚,はい	貝,ばい	倍,ばい	Ｂ,びい	ふい,ふい	不意,ふい	ブイ,ぶい	へい,へい	丙,へい	兵,へい	塀,へい	弊,へい	ほい,ほい	補遺,ほい	本意,ほい	−ぽい,ぽい	ぽい,ぽい	舞,まい	枚,まい	毎,まい	無為,むい	めい,めい	名,めい	命,めい	明,めい	銘,めい	やい,やい	よい,よい	酔,よい	来,らい	雷,らい	癩,らい	塁,るい	累,るい	類,るい	令,れい	例,れい	礼,れい	零,れい	霊,れい
○いあある	ＰＲ,ぴいあある
○いあい	言い合い,いいあい	敬愛,けいあい	最愛,さいあい
○いあう	言い合う,いいあう	食い合う,くいあう
○いあがる	はい上がる,はいあがる	舞い上がる,まいあがる
○いあく	改悪,かいあく	害悪,がいあく	最悪,さいあく	罪悪,ざいあく
○いあげ	買上げ,かいあげ	食いあげ,くいあげ	吸い上げ,すいあげ	縫い揚げ,ぬいあげ
○いあげる	買い上げる,かいあげる	吸い上げる,すいあげる
○いあさ	毎朝,まいあさ
○いあす	バイアス,ばいあす
○いあそぶ	舞い遊ぶ,まいあそぶ
○いあたり	体当たり,たいあたり
○いあつ	外圧,がいあつ	水圧,すいあつ	制圧,せいあつ
○いあやまり	言い誤り,いいあやまり
○いあやまる	言い誤る,いいあやまる
○いあらす	食い荒らす,くいあらす
○いあらためる	悔い改める,くいあらためる
○いあらわす	言い表わす,いいあらわす
○いあわす	問い合わす,といあわす
○いあわせ	食い合わせ,くいあわせ	問合せ,といあわせ
○いあわせる	問い合わせる,といあわせる	縫い合わせる,ぬいあわせる
○いあん	成案,せいあん	対案,たいあん	代案,だいあん	提案,ていあん	平安,へいあん	名案,めいあん	明暗,めいあん
○いい	栄位,えいい	鋭意,えいい	怪異,かいい	敬意,けいい	経緯,けいい	在位,ざいい	推移,すいい	水位,すいい	随意,ずいい	勢威,せいい	誠意,せいい	退位,たいい	大尉,たいい	大意,たいい	題意,だいい	低位,ていい	帝位,ていい	内意,ないい	平易,へいい	名医,めいい	来意,らいい
○いいき	芸域,げいいき	声域,せいいき
○いいく	愛育,あいいく	成育,せいいく	生育,せいいく	体育,たいいく
○いいくでえ	ウイークデー,ういいくでえ
○いいち	随一,ずいいち	だいいち,だいいち	第一,だいいち
○いいちいんしょう	第一印象,だいいちいんしょう
○いいちにんしゃ	第一人者,だいいちにんしゃ
○いいっせん	第一線,だいいっせん
○いいっぱい	精いっぱい,せいいっぱい
○いいつ	唯一,ゆいいつ
○いいと	縫い糸,ぬいいと
○いいど	ツイード,ついいど
○いいぬ	飼い犬,かいいぬ
○いいれ	買入れ,かいいれ
○いいれる	買い入れる,かいいれる	吸い入れる,すいいれる
○いいろ	灰色,はいいろ
○いいん	愛飲,あいいん	合印,あいいん	会員,かいいん	海員,かいいん	クイーン,くいいん	随員,ずいいん	成員,せいいん	成因,せいいん	退院,たいいん	隊員,たいいん	定員,ていいん	敗因,はいいん	売淫,ばいいん
○いいんれき	太陰暦,たいいんれき
○いう	晴雨,せいう	大雨,たいう	梅雨,ばいう	雷雨,らいう
○いういしい	初々しい,ういういしい
○いうけ	買受け,かいうけ
○いうける	買い受ける,かいうける
○いうち	あい打ち,あいうち	追い撃ち,おいうち	不意打ち,ふいうち
○いうつ	追い撃つ,おいうつ
○いうん	海運,かいうん	開運,かいうん	水運,すいうん	衰運,すいうん	星雲,せいうん	盛運,せいうん	青雲,せいうん
○いえ	いいえ,いいえ	ついえ,ついえ
○いえい	営々,えいえい	経営,けいえい	水泳,すいえい	清栄,せいえい	精鋭,せいえい	背泳,はいえい	兵営,へいえい
○いえき	兵役,へいえき
○いえげい	お家芸,おいえげい
○いえつ	拝謁,はいえつ
○いえる	潰える,ついえる	費える,ついえる
○いえん	永遠,えいえん	開演,かいえん	外延,がいえん	敬遠,けいえん	再演,さいえん	才媛,さいえん	菜園,さいえん	垂涎,すいえん	水煙,すいえん	炊煙,すいえん	凄艶,せいえん	盛宴,せいえん	声援,せいえん	製塩,せいえん	庭園,ていえん	内縁,ないえん	肺炎,はいえん	煤煙,ばいえん	米塩,べいえん
○いおい	オイオイ,おいおい	追い追い,おいおい
○いおう	慶応,けいおう	西欧,せいおう	対応,たいおう	大王,だいおう	帝王,ていおう	内応,ないおう
○いおうせい	海王星,かいおうせい	冥王星,めいおうせい
○いおく	言い置く,いいおく	追憶,ついおく	廃屋,はいおく
○いおくる	言い送る,いいおくる
○いおとす	言い落す,いいおとす
○いおりん	バイオリン,ばいおりん
○いおん	水温,すいおん	清音,せいおん	声音,せいおん	静穏,せいおん	体温,たいおん	低温,ていおん	低音,ていおん	平温,へいおん	平穏,へいおん	ライオン,らいおん
○いおんけい	体温計,たいおんけい
○いおんじょう	大音声,だいおんじょう
○いか	怪火,かいか	開化,かいか	開花,かいか	階下,かいか	凱歌,がいか	外貨,がいか	経過,けいか	災禍,さいか	裁可,さいか	西下,さいか	罪科,ざいか	財貨,ざいか	詩歌,しいか	すいか,すいか	水火,すいか	成果,せいか	正価,せいか	正課,せいか	正貨,せいか	生家,せいか	盛夏,せいか	精華,せいか	聖歌,せいか	製菓,せいか	製靴,せいか	青果,せいか	耐火,たいか	滞貨,たいか	退化,たいか	大家,たいか	大火,たいか	大過,たいか	代価,だいか	追加,ついか	低下,ていか	定価,ていか	内科,ないか	廃家,はいか	配下,はいか	倍加,ばいか	梅花,ばいか	売価,ばいか	平価,へいか	陛下,へいか	米価,べいか	むいか,むいか	名家,めいか	名歌,めいか	累加,るいか	零下,れいか
○いかあ	ビーカー,びいかあ
○いかい	開会,かいかい	外海,がいかい	外界,がいかい	境界,けいかい	警戒,けいかい	軽快,けいかい	再会,さいかい	再開,さいかい	斎戒,さいかい	財界,ざいかい	政界,せいかい	正解,せいかい	盛会,せいかい	精解,せいかい	退会,たいかい	大会,たいかい	追懐,ついかい	低徊,ていかい	停会,ていかい	内海,ないかい	徘徊,はいかい	媒介,ばいかい	閉会,へいかい	毎回,まいかい	冥界,めいかい	明快,めいかい	来会,らいかい	例会,れいかい	霊界,れいかい
○いかいけん	制海権,せいかいけん
○いかえ	言い換え,いいかえ
○いかえし	言い返し,いいかえし
○いかえす	言い返す,いいかえす	追い帰す,おいかえす	問い返す,といかえす
○いかえる	言い換える,いいかえる
○いかかえる	言い換える,いいかかえる
○いかかる	食いかかる,くいかかる
○いかぎ	合鍵,あいかぎ
○いかく	鋭角,えいかく	改革,かいかく	外角,がいかく	外郭,がいかく	圭角,けいかく	計画,けいかく	才覚,さいかく	性格,せいかく	正確,せいかく	体格,たいかく	内角,ないかく	内閣,ないかく	明確,めいかく
○いかくせん	対角線,たいかくせん
○いかけ	言いかけ,いいかけ	食いかけ,くいかけ
○いかける	言いかける,いいかける	追いかける,おいかける	食いかける,くいかける	問いかける,といかける
○いかげん	いいかげん,いいかげん	いい加減,いいかげん
○いかぜ	追い風,おいかぜ
○いかた	言い方,いいかた
○いかつ	快活,かいかつ	概括,がいかつ	生活,せいかつ	平滑,へいかつ
○いかつなん	生活難,せいかつなん
○いかつりょう	肺活量,はいかつりょう
○いかぶさる	おいかぶさる,おいかぶさる
○いかぶる	買いかぶる,かいかぶる	買い被る,かいかぶる
○いから	ハイカラ,はいから
○いかわす	言い交わす,いいかわす
○いかわらず	相変らず,あいかわらず
○いかん	哀歓,あいかん	栄冠,えいかん	会館,かいかん	快感,かいかん	快漢,かいかん	怪漢,かいかん	外観,がいかん	概観,がいかん	景観,けいかん	警官,けいかん	才幹,さいかん	生還,せいかん	盛観,せいかん	精悍,せいかん	静観,せいかん	税関,ぜいかん	体感,たいかん	耐寒,たいかん	戴冠,たいかん	退官,たいかん	大官,たいかん	大観,たいかん	代官,だいかん	大寒,だいかん	定款,ていかん	廃刊,はいかん	拝観,はいかん	配管,はいかん	霊感,れいかん
○いかんしき	戴冠式,たいかんしき
○いが	映画,えいが	栄華,えいが	絵画,かいが	慶賀,けいが	大我,たいが	拝賀,はいが	胚芽,はいが	名画,めいが
○いがい	海外,かいがい	形骸,けいがい	謦咳,けいがい	災害,さいがい	在外,ざいがい	水害,すいがい	対外,たいがい	大概,たいがい	内外,ないがい	排外,はいがい	弊害,へいがい	例外,れいがい	冷害,れいがい
○いがいしい	かいがいしい,かいがいしい
○いがかり	言いがかり,いいがかり
○いがかん	映画館,えいがかん
○いがく	在学,ざいがく	声楽,せいがく	退学,たいがく	大学,だいがく	低額,ていがく	停学,ていがく	定額,ていがく	倍額,ばいがく
○いがくねん	来学年,らいがくねん
○いがしろ	ないがしろ,ないがしろ
○いがっき	来学期,らいがっき
○いがら	貝殻,かいがら	吸いがら,すいがら	銘柄,めいがら
○いがん	哀願,あいがん	愛翫,あいがん	海岸,かいがん	開眼,かいがん	慧眼,けいがん	酔眼,すいがん	正眼,せいがん	誓願,せいがん	請願,せいがん	対岸,たいがん	大願,たいがん	拝顔,はいがん
○いき	英気,えいき	会期,かいき	回忌,かいき	回帰,かいき	快気,かいき	怪奇,かいき	外気,がいき	区域,くいき	刑期,けいき	契機,けいき	景気,けいき	計器,けいき	小粋,こいき	再起,さいき	才気,さいき	水気,すいき	随喜,ずいき	世紀,せいき	性器,せいき	正規,せいき	清規,せいき	生気,せいき	生起,せいき	精気,せいき	西紀,せいき	待機,たいき	大器,たいき	大気,たいき	地域,ちいき	追記,ついき	定期,ていき	提起,ていき	吐息,といき	内規,ないき	寝息,ねいき	廃棄,はいき	排気,はいき	ひいき,ひいき	兵器,へいき	平気,へいき	名器,めいき	明記,めいき	銘記,めいき	来期,らいき	冷気,れいき
○いきあつ	低気圧,ていきあつ
○いきい	きいきい,きいきい
○いきかせる	言い聞かせる,いいきかせる
○いきがす	排気ガス,はいきがす
○いききゅう	軽気球,けいききゅう
○いきけん	定期券,ていきけん
○いきしょく	皆既食,かいきしょく
○いきせん	回帰線,かいきせん
○いきぼ	大規模,だいきぼ
○いきみ	いい気味,いいきみ
○いきゃく	退却,たいきゃく	売却,ばいきゃく	来客,らいきゃく	冷却,れいきゃく
○いきゅう	永久,えいきゅう	懐旧,かいきゅう	階級,かいきゅう	性急,せいきゅう	請求,せいきゅう	耐久,たいきゅう	代休,だいきゅう	追及,ついきゅう	追求,ついきゅう	追究,ついきゅう	低級,ていきゅう	定休,ていきゅう	庭球,ていきゅう	排球,はいきゅう	配給,はいきゅう	迷宮,めいきゅう	霊柩,れいきゅう
○いきゅうび	定休日,ていきゅうび
○いきょ	快挙,かいきょ	軽挙,けいきょ	再挙,さいきょ	推挙,すいきょ	逝去,せいきょ	退去,たいきょ	大挙,たいきょ	廃墟,はいきょ	枚挙,まいきょ
○いきょう	愛郷,あいきょう	愛嬌,あいきょう	影響,えいきょう	英京,えいきょう	回教,かいきょう	懐郷,かいきょう	海峡,かいきょう	概況,がいきょう	景況,けいきょう	在京,ざいきょう	在郷,ざいきょう	水郷,すいきょう	酔狂,すいきょう	盛況,せいきょう	滞京,たいきょう	退京,たいきょう	帝京,ていきょう	提供,ていきょう
○いきょく	政局,せいきょく	大局,たいきょく	名曲,めいきょく	歪曲,わいきょく
○いきらい	大きらい,だいきらい
○いきり	買切り,かいきり
○いきる	言い切る,いいきる	買い切る,かいきる
○いきん	解禁,かいきん	皆勤,かいきん	開衿,かいきん	外勤,がいきん	最近,さいきん	細菌,さいきん	在勤,ざいきん	水禽,すいきん	精勤,せいきん	税金,ぜいきん	大金,たいきん	代金,だいきん	庭訓,ていきん	提琴,ていきん	内勤,ないきん	黴菌,ばいきん	平均,へいきん	礼金,れいきん
○いきんぐ	ハイキング,はいきんぐ
○いきんしゃつ	開衿シャツ,かいきんしゃつ
○いきんぞく	軽金属,けいきんぞく
○いきんだい	平均台,へいきんだい
○いきんてん	平均点,へいきんてん
○いぎ	合着,あいぎ	会議,かいぎ	懐疑,かいぎ	芸妓,げいぎ	猜疑,さいぎ	正義,せいぎ	盛儀,せいぎ	大儀,たいぎ	代議,だいぎ	定義,ていぎ	提議,ていぎ	内儀,ないぎ	無意義,むいぎ	名義,めいぎ	礼儀,れいぎ
○いぎい	ぎいぎい,ぎいぎい
○いぎし	代議士,だいぎし
○いぎめいぶん	大義名分,たいぎめいぶん
○いぎゃく	諧謔,かいぎゃく	大逆,たいぎゃく
○いぎゅう	水牛,すいぎゅう
○いぎょ	制御,せいぎょ	生魚,せいぎょ
○いぎょう	営業,えいぎょう	開業,かいぎょう	正業,せいぎょう	生業,せいぎょう	怠業,たいぎょう	大業,たいぎょう	廃業,はいぎょう
○いぎん	水銀,すいぎん
○いく	警句,けいく	細工,さいく	飼育,しいく	成句,せいく	体躯,たいく	大工,だいく	知育,ちいく	対句,ついく	俳句,はいく	保育,ほいく	マイク,まいく	名句,めいく
○いくう	低空,ていくう
○いくうけん	制空権,せいくうけん
○いくしょ	保育所,ほいくしょ
○いくち	あいくち,あいくち	吸い口,すいくち
○いくつ	採掘,さいくつ	退屈,たいくつ
○いくらべ	せい比べ,せいくらべ
○いくる	サイクル,さいくる
○いくるしい	愛くるしい,あいくるしい
○いくるめる	言いくるめる,いいくるめる
○いくろほん	マイクロホン,まいくろほん
○いくん	細君,さいくん	垂訓,すいくん	請訓,せいくん	名君,めいくん
○いぐ	敬具,けいぐ	リーグ,りいぐ
○いぐい	買い食い,かいぐい	ぐいぐい,ぐいぐい
○いぐう	待遇,たいぐう	冷遇,れいぐう	礼遇,れいぐう
○いぐうしゃ	配偶者,はいぐうしゃ
○いぐさ	言い草,いいぐさ
○いぐせん	リーグ戦,りいぐせん
○いぐん	海軍,かいぐん	大軍,たいぐん	敗軍,はいぐん	米軍,べいぐん
○いけ	食い気,くいけ	在家,ざいけ	平家,へいけ
○いけい	会計,かいけい	外形,がいけい	軽々,けいけい	烱々,けいけい	推計,すいけい	成形,せいけい	整形,せいけい	生計,せいけい	体刑,たいけい	体形,たいけい	体系,たいけい	定型,ていけい	提携,ていけい	梯形,ていけい	拝啓,はいけい	背景,はいけい	累計,るいけい	類型,るいけい	令兄,れいけい	令閨,れいけい
○いけいしゅじゅつ	整形手術,せいけいしゅじゅつ
○いけいれい	最敬礼,さいけいれい
○いけっかく	肺結核,はいけっかく
○いけつ	英傑,えいけつ	解決,かいけつ	快傑,かいけつ	採決,さいけつ	裁決,さいけつ	清潔,せいけつ	対決,たいけつ	締結,ていけつ	併結,へいけつ	冷血,れいけつ
○いけん	愛犬,あいけん	会見,かいけん	懐剣,かいけん	開顕,かいけん	外見,がいけん	敬虔,けいけん	経験,けいけん	債券,さいけん	債権,さいけん	再建,さいけん	再見,さいけん	政権,せいけん	政見,せいけん	聖賢,せいけん	体験,たいけん	定見,ていけん	内見,ないけん	拝見,はいけん
○いげい	睥睨,へいげい
○いげき	追撃,ついげき	排撃,はいげき	雷撃,らいげき
○いげつ	歳月,さいげつ	毎月,まいげつ	名月,めいげつ	明月,めいげつ	来月,らいげつ
○いげん	改元,かいげん	開眼,かいげん	軽減,けいげん	再現,さいげん	際限,さいげん	財源,ざいげん	水源,すいげん	制限,せいげん	贅言,ぜいげん	体現,たいげん	大言,たいげん	逓減,ていげん	平原,へいげん	名言,めいげん	明言,めいげん	霊験,れいげん
○いげんち	水源地,すいげんち
○いこ	あいこ,あいこ	愛顧,あいこ	栄枯,えいこ	かいこ,かいこ	解雇,かいこ	回顧,かいこ	懐古,かいこ	稽古,けいこ	在庫,ざいこ	太古,たいこ	太鼓,たいこ	だいこ,だいこ
○いこう	愛好,あいこう	曳航,えいこう	栄光,えいこう	回航,かいこう	開口,かいこう	開校,かいこう	開港,かいこう	開講,かいこう	邂逅,かいこう	外交,がいこう	外向,がいこう	傾向,けいこう	携行,けいこう	景・敬仰,けいこう	螢光,けいこう	再興,さいこう	再考,さいこう	最高,さいこう	採光,さいこう	採鉱,さいこう	推考,すいこう	遂行,すいこう	随行,ずいこう	性交,せいこう	性向,せいこう	性行,せいこう	成功,せいこう	正鵠,せいこう	生硬,せいこう	精巧,せいこう	製鋼,せいこう	西郊,せいこう	対抗,たいこう	対校,たいこう	退校,たいこう	大綱,たいこう	代行,だいこう	抵抗,ていこう	内向,ないこう	内攻,ないこう	内訌,ないこう	廃坑,はいこう	廃校,はいこう	平行,へいこう	平衡,へいこう	並行,へいこう	閉口,へいこう	名工,めいこう	励行,れいこう
○いこうぎょう	軽工業,けいこうぎょう
○いこうさい	最高裁,さいこうさい
○いこうせん	平行線,へいこうせん
○いこうちょう	最高潮,さいこうちょう
○いこうとう	螢光燈,けいこうとう
○いこうほう	正攻法,せいこうほう
○いこうぼう	平行棒,へいこうぼう
○いこがれる	恋いこがれる,こいこがれる
○いこく	愛国,あいこく	英国,えいこく	戒告,かいこく	海国,かいこく	開国,かいこく	外国,がいこく	経国,けいこく	警告,けいこく	谿谷,けいこく	正鵠,せいこく	大国,たいこく	大黒,だいこく	定刻,ていこく	帝国,ていこく	内国,ないこく	売国,ばいこく	米国,べいこく	米穀,べいこく	冷酷,れいこく
○いこくご	外国語,がいこくご
○いこくじん	外国人,がいこくじん
○いこくど	売国奴,ばいこくど
○いこくばしら	大黒柱,だいこくばしら
○いこす	追い越す,おいこす
○いこっと	ボイコット,ぼいこっと
○いこつ	骸骨,がいこつ
○いことば	合言葉,あいことば	買い言葉,かいことば
○いこみ	追い込み,おいこみ	追込み,おいこみ	食い込み,くいこみ	吸い込み,すいこみ	税込み,ぜいこみ
○いこむ	追込む,おいこむ	買い込む,かいこむ	食い込む,くいこむ	しょいこむ,しょいこむ	吸いこむ,すいこむ	吸い込む,すいこむ	縫いこむ,ぬいこむ	縫い込む,ぬいこむ	はい込む,はいこむ	舞い込む,まいこむ
○いこもち	太鼓持ち,たいこもち
○いころ	さいころ,さいころ
○いこん	悔恨,かいこん	開墾,かいこん	再建,さいこん	再婚,さいこん	精根,せいこん	だいこん,だいこん	霊魂,れいこん
○いこんおろし	大根卸し,だいこんおろし
○いご	愛護,あいご	英語,えいご	改悟,かいご	外語,がいご	敬語,けいご	警護,けいご	最期,さいご	最後,さいご	正誤,せいご	生後,せいご	隊伍,たいご	大悟,たいご	廃語,はいご	背後,はいご	ふいご,ふいご	まい子,まいご	類語,るいご
○いごう	会合,かいごう	迎合,げいごう	在郷,ざいごう	罪業,ざいごう	水郷,すいごう	廃合,はいごう	配合,はいごう	併合,へいごう
○いごえ	追い肥え,おいごえ
○いごく	西国,さいごく
○いごし	宵越し,よいごし
○いごと	芸事,げいごと
○いごみ	醍醐味,だいごみ
○いごろし	飼い殺し,かいごろし
○いごん	遺言,ゆいごん
○いさ	海佐,かいさ	大佐,たいさ	大差,たいさ	閉鎖,へいさ
○いさい	愛妻,あいさい	英才,えいさい	開催,かいさい	外債,がいさい	掲載,けいさい	荊妻,けいさい	さいさい,さいさい	水彩,すいさい	制裁,せいさい	正妻,せいさい	生彩,せいさい	精彩,せいさい	精細,せいさい	大祭,たいさい	小さい,ちいさい	体裁,ていさい	内済,ないさい	明細,めいさい	迷彩,めいさい	例祭,れいさい	零細,れいさい
○いさいが	水彩画,すいさいが
○いさがる	食いさがる,くいさがる
○いさき	生い先,おいさき	老い先,おいさき	幸先,さいさき
○いさく	改作,かいさく	開鑿,かいさく	制作,せいさく	政策,せいさく	製作,せいさく	対策,たいさく	大作,たいさく	代作,だいさく	米作,べいさく	名作,めいさく
○いさつ	あいさつ,あいさつ	改札,かいさつ	警察,けいさつ	推察,すいさつ	偵察,ていさつ	併殺,へいさつ	明察,めいさつ
○いさつしょ	警察署,けいさつしょ
○いさな	小さな,ちいさな
○いさん	解散,かいさん	概算,がいさん	計算,けいさん	再三,さいさん	採算,さいさん	財産,ざいさん	じいさん,じいさん	水産,すいさん	成算,せいさん	清算,せいさん	生産,せいさん	精算,せいさん	青酸,せいさん	悽惨,せいさん	退散,たいさん	にいさん,にいさん	名産,めいさん	礼讃,らいさん
○いさんかっけい	正三角形,せいさんかっけい
○いさんごく	第三国,だいさんごく
○いさんごくじん	第三国人,だいさんごくじん
○いさんしゃ	第三者,だいさんしゃ
○いさんぶつ	海産物,かいさんぶつ
○いざ	星座,せいざ	正坐,せいざ	静座,せいざ	対坐,たいざ
○いざい	経済,けいざい	製材,せいざい	滞在,たいざい	大罪,たいざい	題材,だいざい	内在,ないざい	配剤,はいざい
○いざいてき	経済的,けいざいてき
○いざつ	猥雑,わいざつ
○いざめ	酔醒め,よいざめ
○いざら	灰皿,はいざら
○いざん	改竄,かいざん	敗残,はいざん
○いし	英姿,えいし	開始,かいし	外紙,がいし	外資,がいし	碍子,がいし	継子,けいし	罫紙,けいし	警視,けいし	軽視,けいし	小石,こいし	碁石,ごいし	妻子,さいし	才子,さいし	祭祀,さいし	水死,すいし	制止,せいし	正史,せいし	正視,せいし	生死,せいし	製糸,せいし	製紙,せいし	誓詞,せいし	静止,せいし	太子,たいし	大使,たいし	大志,たいし	台紙,だいし	大師,だいし	墜死,ついし	追試,ついし	停止,ていし	砥石,といし	乃至,ないし	廃止,はいし	兵士,へいし	閉止,へいし	名刺,めいし	名士,めいし	名詞,めいし
○いしい	おいしい,おいしい	恋しい,こいしい
○いしいじい	ＢＣＧ,びいしいじい
○いしき	形式,けいしき	彩色,さいしき	正式,せいしき	定式,ていしき	無意識,むいしき	礼式,れいしき
